Timestamp,Prelim,Actual,Forecast,Previous
2018-11-07 10:30:00,False,1.852M,-2.276M,-3.161M
2018-10-31 09:30:00,False,-3.161M,-2.137M,-4.826M
2018-10-24 09:30:00,False,-4.826M,-1.878M,-2.016M
2018-10-17 09:30:00,False,-2.016M,-1.074M,0.951M
2018-10-11 10:00:00,False,0.951M,-0.042M,-0.459M
2018-10-03 09:30:00,False,-0.459M,1.316M,1.530M
2018-09-26 09:30:00,False,1.530M,0.788M,-1.719M
2018-09-19 09:30:00,False,-1.719M,-0.104M,1.250M
2018-09-12 09:30:00,False,1.250M,1.321M,1.845M
2018-09-06 10:00:00,False,1.845M,-0.810M,-1.554M
2018-08-29 09:30:00,False,-1.554M,0.370M,1.200M
2018-08-22 09:30:00,False,1.200M,-0.488M,-0.740M
2018-08-15 09:30:00,False,-0.740M,-0.583M,2.900M
2018-08-08 09:30:00,False,2.900M,-1.700M,-2.536M
2018-08-01 09:30:00,False,-2.536M,-1.288M,-2.328M
2018-07-25 09:30:00,False,-2.328M,-0.713M,-3.165M
2018-07-18 09:30:00,False,-3.165M,-0.044M,-0.694M
2018-07-11 09:30:00,False,-0.694M,-0.750M,-1.505M
2018-07-05 10:00:00,False,-1.505M,-0.817M,1.156M
2018-06-27 09:30:00,False,1.156M,1.313M,3.277M
2018-06-20 09:30:00,False,3.277M,0.188M,-2.271M
2018-06-13 09:30:00,False,-2.271M,0.443M,4.603M
2018-06-06 09:30:00,False,4.603M,0.587M,0.534M
2018-05-31 10:00:00,False,0.534M, ,1.883M
2018-05-23 09:30:00,False,1.883M,-1.388M,-3.790M
2018-05-16 09:30:00,False,-3.790M,-1.421M,-2.174M
2018-05-09 09:30:00,False,-2.174M,-0.450M,1.171M
2018-05-02 09:30:00,False,1.171M,-0.587M,0.840M
2018-04-25 09:30:00,False,0.840M,-0.625M,-2.968M
2018-04-18 09:30:00,False,-2.968M,-0.227M,0.458M
2018-04-11 09:30:00,False,0.458M,-1.425M,-1.116M
2018-04-04 09:30:00,False,-1.116M,-1.264M,-3.472M
2018-03-28 09:30:00,False,-3.472M,-1.954M,-1.693M
2018-03-21 09:30:00,False,-1.693M,-2.008M,-6.271M
2018-03-14 09:30:00,False,-6.271M,-1.176M,-0.788M
2018-03-07 10:30:00,False,-0.788M,-1.201M,2.483M
2018-02-28 10:30:00,False,2.483M,-0.190M,0.261M
2018-02-22 11:00:00,False,0.261M,-0.283M,3.599M
2018-02-14 10:30:00,False,3.599M,1.229M,3.414M
2018-02-07 10:30:00,False,3.414M,0.459M,-1.980M
2018-01-31 10:30:00,False,-1.980M,1.809M,3.098M
2018-01-24 10:30:00,False,3.098M,2.486M,3.620M
2018-01-18 11:00:00,False,3.620M,3.426M,4.135M
2018-01-10 10:30:00,False,4.135M,2.625M,4.813M
2018-01-04 11:00:00,False,4.813M,2.182M,0.591M
2017-12-28 11:00:00,False,0.591M,1.278M,1.237M
2017-12-20 10:30:00,False,1.237M,1.895M,5.664M
2017-12-13 10:30:00,False,5.664M,2.457M,6.780M
2017-12-06 10:30:00,False,6.780M,1.741M,3.627M
2017-11-29 10:30:00,False,3.627M,1.199M,0.044M
2017-11-22 10:30:00,False,0.044M,0.737M,0.894M
2017-11-15 10:30:00,False,0.894M,-0.919M,-3.312M
2017-11-08 10:30:00,False,-3.312M,-1.938M,-4.020M
2017-11-01 09:30:00,False,-4.020M,-1.506M,-5.465M
2017-10-25 09:30:00,False,-5.465M,-0.017M,0.908M
2017-10-18 09:30:00,False,0.908M,0.256M,2.490M
2017-10-12 10:00:00,False,2.490M,-0.480M,1.644M
2017-10-04 09:30:00,False,1.644M,1.088M,1.107M
2017-09-27 09:30:00,False,1.107M,-0.921M,-2.125M
2017-09-20 09:30:00,False,-2.125M,-2.135M,-8.428M
2017-09-13 09:30:00,False,-8.428M,-2.050M,-3.199M
2017-09-07 10:00:00,False,-3.199M,-5.000M,0.035M
2017-08-30 09:30:00,False,0.035M,-0.989M,-1.223M
2017-08-23 09:30:00,False,-1.223M,-0.643M,0.022M
2017-08-16 09:30:00,False,0.022M,-1.078M,3.424M
2017-08-09 09:30:00,False,3.424M,-1.479M,-2.517M
2017-08-02 09:30:00,False,-2.517M,-0.636M,-1.015M
2017-07-26 09:30:00,False,-1.015M,-0.614M,-4.445M
2017-07-19 09:30:00,False,-4.445M,-0.655M,-1.647M
2017-07-12 09:30:00,False,-1.647M,1.147M,-3.669M
2017-07-06 10:00:00,False,-3.669M,-1.067M,-0.894M
2017-06-28 09:30:00,False,-0.894M,-0.583M,-0.578M
2017-06-21 09:30:00,False,-0.578M,0.443M,2.096M
2017-06-14 09:30:00,False,2.096M,-0.457M,3.324M
2017-06-07 09:30:00,False,3.324M,0.580M,-2.858M
2017-06-01 10:00:00,False,-2.858M,-1.091M,-0.787M
2017-05-24 09:30:00,False,-0.787M,-1.194M,-0.413M
2017-05-17 09:30:00,False,-0.413M,-0.731M,-0.150M
2017-05-10 09:30:00,False,-0.150M,-0.538M,0.191M
2017-05-03 09:30:00,False,0.191M,1.322M,3.369M
2017-04-26 09:30:00,False,3.369M,-1.020M,1.542M
2017-04-19 09:30:00,False,1.542M,-1.938M,-2.973M
2017-04-12 09:30:00,False,-2.973M,-1.721M,-0.618M
2017-04-05 09:30:00,False,-0.618M,-1.422M,-3.747M
2017-03-29 09:30:00,False,-3.747M,-1.886M,-2.811M
2017-03-22 09:30:00,False,-2.811M,-2.008M,-3.055M
2017-03-15 09:30:00,False,-3.055M,-1.950M,-6.555M
2017-03-08 10:30:00,False,-6.555M,-1.400M,-0.546M
2017-03-01 10:30:00,False,-0.546M,-1.789M,-2.628M
2017-02-23 11:00:00,False,-2.628M,-0.888M,2.846M
2017-02-15 10:30:00,False,2.846M,-0.752M,-0.869M
2017-02-08 10:30:00,False,-0.869M,1.071M,3.866M
2017-02-01 10:30:00,False,3.866M,0.982M,6.796M
2017-01-25 10:30:00,False,6.796M,0.498M,5.951M
2017-01-19 11:00:00,False,5.951M,2.023M,5.023M
2017-01-11 10:30:00,False,5.023M,1.638M,8.307M
2017-01-05 11:00:00,False,8.307M,1.786M,-1.593M
