time,ask,bid,ask_volume,bid_volume
2017-04-27 09:03:20.448000,1.09075,1.09071,1500000,4120000
2017-04-27 09:03:22.673000,1.09075,1.09070,6370000,4120000
2017-04-27 09:03:22.929000,1.09074,1.09071,1000000,3000000
2017-04-27 09:03:23.031000,1.09076,1.09071,8620000,2250000
2017-04-27 09:03:23.301000,1.09074,1.09070,3000000,3000000
2017-04-27 09:03:23.556000,1.09076,1.09070,8250000,9000000
2017-04-27 09:03:23.861000,1.09074,1.09070,1500000,6370000
2017-04-27 09:03:24.068000,1.09073,1.09069,1000000,2250000
2017-04-27 09:03:24.424000,1.09071,1.09069,1000000,1120000
2017-04-27 09:03:24.923000,1.09070,1.09066,5480000,2250000
2017-04-27 09:03:25.431000,1.09069,1.09066,8250000,1000000
2017-04-27 09:03:25.588000,1.09069,1.09064,8250000,1870000
2017-04-27 09:03:26.012000,1.09067,1.09064,1000000,1000000
2017-04-27 09:03:26.114000,1.09069,1.09064,13350000,1000000
2017-04-27 09:03:26.576000,1.09065,1.09063,1500000,1120000
2017-04-27 09:03:27.087000,1.09066,1.09062,1000000,3000000
2017-04-27 09:03:27.617000,1.09067,1.09062,4120000,3000000
2017-04-27 09:03:28.123000,1.09066,1.09062,4500000,1120000
2017-04-27 09:03:29.086000,1.09064,1.09062,1500000,1870000
2017-04-27 09:03:29.342000,1.09063,1.09058,1000000,4870000
2017-04-27 09:03:29.747000,1.09064,1.09060,3750000,1870000
2017-04-27 09:03:30.266000,1.09065,1.09061,1000000,4870000
2017-04-27 09:03:30.773000,1.09064,1.09061,7870000,1120000
2017-04-27 09:03:30.875000,1.09064,1.09059,14620000,1870000
2017-04-27 09:03:31.859000,1.09063,1.09059,1000000,1120000
2017-04-27 09:03:32.368000,1.09062,1.09059,1000000,2250000
2017-04-27 09:03:33.070000,1.09063,1.09059,4870000,2250000
2017-04-27 09:03:33.632000,1.09063,1.09058,5250000,3370000
2017-04-27 09:03:35.548000,1.09062,1.09059,1000000,2250000
2017-04-27 09:03:36.049000,1.09063,1.09059,1500000,2250000
2017-04-27 09:03:38.245000,1.09064,1.09059,10500000,4500000
2017-04-27 09:03:38.448000,1.09062,1.09059,1000000,4500000
2017-04-27 09:03:38.955000,1.09063,1.09059,5250000,3750000
2017-04-27 09:03:40.090000,1.09062,1.09059,1000000,3750000
2017-04-27 09:03:42.090000,1.09063,1.09059,1870000,1500000
2017-04-27 09:03:42.889000,1.09060,1.09058,1000000,1500000
2017-04-27 09:03:43.408000,1.09060,1.09057,1000000,1500000
2017-04-27 09:03:43.712000,1.09058,1.09054,3000000,1000000
2017-04-27 09:03:44.350000,1.09058,1.09053,3000000,1000000
2017-04-27 09:03:44.892000,1.09057,1.09052,1000000,5250000
2017-04-27 09:03:45.428000,1.09057,1.09053,1500000,1000000
2017-04-27 09:03:45.970000,1.09058,1.09053,5810000,1500000
2017-04-27 09:03:46.492000,1.09058,1.09054,1500000,2250000
2017-04-27 09:03:49.968000,1.09059,1.09054,10500000,1000000
2017-04-27 09:03:51.867000,1.09057,1.09053,1000000,4120000
2017-04-27 09:03:52.374000,1.09058,1.09053,7500000,2250000
2017-04-27 09:03:53.492000,1.09057,1.09053,1500000,1120000
2017-04-27 09:03:53.999000,1.09058,1.09053,2960000,4870000
2017-04-27 09:03:54.503000,1.09057,1.09053,1500000,1120000
2017-04-27 09:03:54.824000,1.09055,1.09051,1000000,12000000
2017-04-27 09:03:55.178000,1.09055,1.09051,1000000,8620000
2017-04-27 09:03:55.338000,1.09053,1.09051,1500000,3750000
2017-04-27 09:03:55.440000,1.09051,1.09049,1500000,2620000
2017-04-27 09:03:55.543000,1.09049,1.09048,1870000,2250000
2017-04-27 09:03:55.646000,1.09047,1.09045,1000000,1500000
2017-04-27 09:03:55.748000,1.09048,1.09043,6000000,2810000
2017-04-27 09:03:56.291000,1.09047,1.09043,1140000,1120000
2017-04-27 09:03:57.310000,1.09045,1.09043,1000000,1120000
2017-04-27 09:03:57.614000,1.09043,1.09039,2250000,5620000
2017-04-27 09:03:57.665000,1.09043,1.09039,2440000,5250000
2017-04-27 09:03:58.485000,1.09042,1.09039,1000000,1120000
2017-04-27 09:03:58.688000,1.09041,1.09037,1000000,3000000
2017-04-27 09:04:00.275000,1.09041,1.09037,6410000,1000000
2017-04-27 09:04:00.479000,1.09038,1.09035,1500000,1500000
2017-04-27 09:04:00.834000,1.09036,1.09034,1000000,1000000
2017-04-27 09:04:01.108000,1.09038,1.09034,3750000,1000000
2017-04-27 09:04:01.620000,1.09039,1.09035,3190000,2810000
2017-04-27 09:04:02.130000,1.09040,1.09035,1250000,3560000
2017-04-27 09:04:02.680000,1.09041,1.09036,5060000,6000000
2017-04-27 09:04:03.188000,1.09040,1.09036,1000000,1120000
2017-04-27 09:04:03.733000,1.09038,1.09035,1000000,1870000
2017-04-27 09:04:04.112000,1.09041,1.09037,2250000,5250000
2017-04-27 09:04:04.367000,1.09039,1.09038,1000000,1000000
2017-04-27 09:04:04.570000,1.09040,1.09036,2620000,1000000
2017-04-27 09:04:05.767000,1.09039,1.09035,3370000,1870000
2017-04-27 09:04:06.277000,1.09040,1.09035,4650000,3370000
2017-04-27 09:04:06.531000,1.09038,1.09035,1000000,1870000
2017-04-27 09:04:08.626000,1.09038,1.09034,1870000,2530000
2017-04-27 09:04:11.626000,1.09036,1.09033,2250000,4590000
2017-04-27 09:04:11.880000,1.09033,1.09029,1120000,5620000
2017-04-27 09:04:12.033000,1.09031,1.09028,1000000,6750000
2017-04-27 09:04:13.269000,1.09032,1.09028,1200000,1970000
2017-04-27 09:04:13.778000,1.09033,1.09027,10570000,6470000
2017-04-27 09:04:14.326000,1.09032,1.09028,1000000,1130000
2017-04-27 09:04:14.860000,1.09033,1.09028,3370000,1600000
2017-04-27 09:04:15.755000,1.09032,1.09027,1000000,7970000
2017-04-27 09:04:16.059000,1.09031,1.09026,2250000,6000000
2017-04-27 09:04:16.567000,1.09030,1.09026,1600000,1500000
2017-04-27 09:04:18.069000,1.09030,1.09025,2350000,4500000
2017-04-27 09:04:18.124000,1.09028,1.09025,1000000,1870000
2017-04-27 09:04:18.329000,1.09028,1.09023,3000000,4120000
2017-04-27 09:04:20.034000,1.09028,1.09023,4570000,1000000
2017-04-27 09:04:20.636000,1.09026,1.09022,1000000,4500000
2017-04-27 09:04:21.156000,1.09026,1.09023,1000000,1870000
2017-04-27 09:04:21.420000,1.09023,1.09022,1000000,2620000
2017-04-27 09:04:21.472000,1.09026,1.09022,2250000,1000000
2017-04-27 09:04:21.523000,1.09023,1.09021,1000000,10480000
2017-04-27 09:04:21.625000,1.09026,1.09022,1120000,1120000
2017-04-27 09:04:22.165000,1.09026,1.09023,1140000,1120000
2017-04-27 09:04:22.317000,1.09023,1.09022,1000000,1000000
2017-04-27 09:04:22.471000,1.09021,1.09019,2250000,1000000
2017-04-27 09:04:22.523000,1.09021,1.09018,10120000,2250000
2017-04-27 09:04:22.759000,1.09022,1.09019,2250000,1000000
2017-04-27 09:04:22.810000,1.09022,1.09021,1000000,1000000
2017-04-27 09:04:22.912000,1.09024,1.09021,1350000,1000000
2017-04-27 09:04:23.319000,1.09026,1.09021,2730000,6370000
2017-04-27 09:04:23.844000,1.09025,1.09021,1500000,1870000
2017-04-27 09:04:24.350000,1.09026,1.09021,1980000,9750000
2017-04-27 09:04:24.907000,1.09027,1.09024,2350000,1000000
2017-04-27 09:04:25.009000,1.09028,1.09024,1120000,3000000
2017-04-27 09:04:25.624000,1.09027,1.09024,3370000,1000000
2017-04-27 09:04:25.676000,1.09026,1.09021,1500000,7870000
2017-04-27 09:04:27.081000,1.09024,1.09022,3370000,1870000
2017-04-27 09:04:27.183000,1.09024,1.09020,5250000,3370000
2017-04-27 09:04:28.362000,1.09021,1.09020,1000000,1120000
2017-04-27 09:04:28.793000,1.09013,1.09010,2250000,1000000
2017-04-27 09:04:28.845000,1.09011,1.09010,1000000,1000000
2017-04-27 09:04:28.997000,1.09013,1.09010,3000000,1000000
2017-04-27 09:04:29.568000,1.09013,1.09009,2620000,3000000
2017-04-27 09:04:29.881000,1.09011,1.09009,1000000,3000000
2017-04-27 09:04:30.034000,1.09008,1.09004,1500000,1120000
2017-04-27 09:04:30.187000,1.09007,1.09006,1000000,1000000
2017-04-27 09:04:30.289000,1.09007,1.09004,1500000,1500000
2017-04-27 09:04:30.864000,1.09008,1.09004,2250000,1000000
2017-04-27 09:04:31.035000,1.09006,1.09003,1000000,1500000
2017-04-27 09:04:31.554000,1.09007,1.09004,4870000,1000000
2017-04-27 09:04:31.910000,1.09010,1.09005,4460000,4500000
2017-04-27 09:04:32.113000,1.09011,1.09007,4090000,1870000
2017-04-27 09:04:32.317000,1.09014,1.09010,1000000,1870000
2017-04-27 09:04:32.941000,1.09013,1.09010,1500000,1000000
2017-04-27 09:04:33.487000,1.09014,1.09010,10500000,1000000
2017-04-27 09:04:34,1.09015,1.09011,1500000,1000000
2017-04-27 09:04:34.510000,1.09014,1.09011,1000000,1000000
2017-04-27 09:04:35.059000,1.09014,1.09010,1500000,1120000
2017-04-27 09:04:36.286000,1.09013,1.09010,1000000,1000000
2017-04-27 09:04:36.498000,1.09011,1.09009,1000000,1000000
2017-04-27 09:04:37.824000,1.09012,1.09007,3000000,6190000
2017-04-27 09:04:42.317000,1.09013,1.09009,4500000,1000000
2017-04-27 09:04:42.622000,1.09015,1.09012,1000000,1000000
2017-04-27 09:04:43.165000,1.09016,1.09011,7870000,3750000
2017-04-27 09:04:44.843000,1.09016,1.09012,3750000,1120000
2017-04-27 09:04:45.151000,1.09018,1.09014,1000000,2250000
2017-04-27 09:04:45.408000,1.09020,1.09015,2250000,5250000
2017-04-27 09:04:45.942000,1.09021,1.09017,3370000,1000000
2017-04-27 09:04:46.455000,1.09021,1.09016,1600000,7870000
2017-04-27 09:04:46.825000,1.09019,1.09016,6000000,3000000
2017-04-27 09:04:46.927000,1.09018,1.09014,1000000,4500000
2017-04-27 09:04:47.486000,1.09017,1.09013,1000000,7120000
2017-04-27 09:04:48.133000,1.09017,1.09013,1000000,2620000
2017-04-27 09:04:52.369000,1.09018,1.09013,2620000,2620000
2017-04-27 09:04:52.895000,1.09019,1.09015,3370000,2620000
2017-04-27 09:04:53.402000,1.09020,1.09016,3850000,1000000
2017-04-27 09:04:53.981000,1.09020,1.09015,1140000,10870000
2017-04-27 09:04:54.666000,1.09020,1.09016,1140000,4500000
